title,brand,category,price,rating_stars,reviews_count,ram_gb,storage_gb,storage_type,screen_inches,cpu_ghz,cpu_flag,battery_mah,camera_mp,description,product_page_url,image_url,image_path,source
Lenovo V110-15ISK,Lenovo,laptops,454.73,,2,4,4.0,SSD,,,,,,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/82,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire A315-51-33TG,Acer,laptops,457.38,,9,4,4.0,SSD,,,,,,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/allinone/product/83,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V110-15IKB,Lenovo,laptops,465.95,,7,4,4.0,,,,i5,,,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",https://webscraper.io/test-sites/e-commerce/allinone/product/84,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus VivoBook 15 X540UA-DM260 Chocolate Black,Asus,laptops,468.56,,1,4,4.0,SSD,,,AppleSilicon,,,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/85,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire ES1-572 Black,Acer,laptops,469.1,,5,4,4.0,SSD,,,,,,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/86,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V510 Black,Lenovo,laptops,484.23,,8,4,4.0,SSD,,,,,,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/87,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire ES1-572 Black,Acer,laptops,485.9,,6,4,4.0,SSD,,,i5,,,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/88,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V510 Black,Lenovo,laptops,487.8,,9,4,4.0,SSD,,,,,,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/89,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Swift 1 SF113-31 Silver,Acer,laptops,488.64,,4,4,4.0,SSD,,,,,,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/90,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Vostro 15,Dell,laptops,488.78,,14,4,4.0,SSD,,,i5,,,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/46,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 3 A315-51 Black,Acer,laptops,494.71,,2,4,4.0,SSD,,,,,,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/91,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Vostro 15 (3568) Red,Dell,laptops,497.17,,9,4,4.0,,,,i5,,,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/92,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo V510 Black,Lenovo,laptops,498.23,,5,4,4.0,SSD,,,,,,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/93,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
HP 250 G3,HP,laptops,520.99,,13,4,4.0,,,,i5,,,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",https://webscraper.io/test-sites/e-commerce/allinone/product/42,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Spin 5,Acer,laptops,564.98,,0,4,4.0,SSD,,,,,,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/47,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
HP 350 G1,HP,laptops,577.99,,10,4,4.0,,,,i5,,,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",https://webscraper.io/test-sites/e-commerce/allinone/product/44,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Aspire E1-572G,Aspire E1-572G,laptops,581.99,,2,8,8.0,,,,i5,,,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",https://webscraper.io/test-sites/e-commerce/allinone/product/36,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Pavilion,Pavilion,laptops,609.99,,4,6,6.0,,,,i5,,,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",https://webscraper.io/test-sites/e-commerce/allinone/product/38,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire A515-51-5654,Acer,laptops,679.0,,9,8,8.0,SSD,,,i5,,,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/allinone/product/48,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Inspiron 15,Dell,laptops,679.0,,7,8,8.0,,,,i5,,,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",https://webscraper.io/test-sites/e-commerce/allinone/product/49,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus VivoBook S14,Asus,laptops,729.0,,2,8,8.0,SSD,,,i5,,,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/50,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
ProBook,ProBook,laptops,739.99,,8,4,4.0,,,2.6,i5,,,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/allinone/product/34,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Inspiron 15,Inspiron 15,laptops,745.99,,12,8,8.0,,,,i7,,,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",https://webscraper.io/test-sites/e-commerce/allinone/product/39,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus ROG STRIX GL553VD-DM256,Asus,laptops,799.0,,7,8,8.0,,,,i5,,,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/allinone/product/51,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Nitro 5 AN515-51,Acer,laptops,809.0,,0,8,8.0,,,,i5,,,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/52,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus ROG STRIX GL553VD-DM256,Asus,laptops,899.0,,7,8,8.0,,,,i5,,,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/53,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo ThinkPad L570,Lenovo,laptops,999.0,,11,8,8.0,SSD,,,i7,,,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/54,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
ThinkPad Yoga,ThinkPad Yoga,laptops,1033.99,,13,4,4.0,SSD,,,,,,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",https://webscraper.io/test-sites/e-commerce/allinone/product/37,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo ThinkPad L460,Lenovo,laptops,1096.02,,14,8,8.0,SSD,,,i7,,,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/94,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Inspiron 15 (7567) Black,Dell,laptops,1098.42,,7,8,8.0,SSD,,,i5,,,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/95,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
MSI GL72M 7RDX,MSI,laptops,1099.0,,1,8,8.0,SSD,,,i5,,,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/96,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
MSI GL72M 7RDX,MSI,laptops,1099.0,,9,8,8.0,SSD,,,i7,,,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/allinone/product/97,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus ROG Strix GL553VD-DM535T,Asus,laptops,1101.83,,4,8,8.0,SSD,,1.8,i5,,,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",https://webscraper.io/test-sites/e-commerce/allinone/product/98,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Latitude 5280,Dell,laptops,1102.66,,8,8,8.0,SSD,,,i5,,,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/99,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Latitude 5480,Dell,laptops,1110.14,,4,8,8.0,,,,i5,,,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/100,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo Legion Y520-15IKBM,Lenovo,laptops,1112.91,,1,8,8.0,SSD,,,i5,,,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/101,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Toshiba Portege Z30-C-16J Grey,Toshiba Portege,laptops,1114.55,,0,8,8.0,SSD,,,i5,,,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/102,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Predator Helios 300 (PH317-51),Acer,laptops,1123.87,,1,8,8.0,SSD,,,i5,,,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/103,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Aspire 7 A715-71G,Acer,laptops,1123.87,,4,8,8.0,SSD,,,i7,,,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/104,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Inspiron 17 2in1 (7779) Silver,Dell,laptops,1124.2,,10,12,12.0,,,,i5,,,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/105,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Latitude 5480,Dell,laptops,1133.82,,14,8,8.0,,,,i5,,,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/106,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Lenovo Legion Y520,Lenovo,laptops,1133.91,,13,8,8.0,SSD,,,i7,,,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/107,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,Asus,laptops,1139.54,,7,4,4.0,SSD,,,i5,,,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",https://webscraper.io/test-sites/e-commerce/allinone/product/108,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Acer Nitro 5 AN515-51,Acer,laptops,1140.62,,14,8,8.0,SSD,,,i7,,,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/109,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Latitude 5480,Dell,laptops,1143.4,,5,8,8.0,SSD,,,i5,,,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/allinone/product/110,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
Dell Inspiron 15 (7567) Black,Dell,laptops,1144.2,,2,8,8.0,,,,i7,,,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/allinone/product/111,https://webscraper.io/img/logo_white.svg,ai-ml-assignment/data/raw_ecom/images/logo_white.svg,webscraper.io
